降水量(mm),土壤蒸发量(W/m2),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
143,20.78,16.82,39.39,44.18,167.7
76.71,17.54,17.13,42.8,44.62,167.65
46.48,10.37,15.47,38.95,44.45,167.61
48.77,12.06,17.31,39.19,43.57,167.58
16,9.49,15.55,46.53,46.3,167.56
156.97,1.96,14.55,44.55,47.79,167.53
270,0.6,14.73,44.44,47.89,167.53
4.32,0.59,14.11,44.44,47.89,167.53
9.65,0.94,13.34,44.44,47.89,167.53
93.47,2.58,12.26,44.43,47.89,167.53
6.1,4.31,11.05,44.07,47.82,167.53
16.76,22.17,15.43,42.39,47.5,167.53
77.72,24.02,17,43.5,47.6,167.5
51.31,20.58,17.33,45.2,48.39,167.46
54.36,6.43,12.85,33.21,45.51,167.42
30.48,9.48,16.22,33.22,43.44,167.39
57.15,9.15,17.79,46.72,44.77,167.38
44.45,5.8,16.33,46.76,45.86,167.37
481.33,1.36,13.25,46.76,45.86,167.37
891.79,0.62,12.48,46.76,45.86,167.37
202.44,1.07,11.71,46.76,45.86,167.37
8.38,2.01,11.1,46.75,45.86,167.37
6.6,3.95,11.06,46.28,45.81,167.37
6.6,7.98,11.81,43.85,45.61,167.37
39.88,10.32,13.29,38.16,45.5,167.33
36.58,13.61,15.33,36.15,44.29,167.29
56.64,11.05,16.83,38.47,43.26,167.28
12.19,6.61,14.24,35.2,42.71,167.28
10.92,4.08,13.52,33.85,42.53,167.28
207.52,1.92,12.13,34.05,42.64,167.28
205.49,0.69,11.21,34.05,42.65,167.28
414.02,0.42,10.69,34.05,42.65,167.28
298.7,0.46,10.26,34.05,42.65,167.28
29.72,1.15,9.75,34.02,42.65,167.28
19.56,12.3,14.55,33.84,42.62,167.28
20.83,11.82,13.94,33.22,42.49,167.28
19.56,15.79,15.68,35.17,42.36,167.28
95.76,25.76,19.66,49.55,45.46,167.27
50.8,14.65,19.01,52.52,57.18,167.23
61.47,12.7,18.27,49.75,60.56,167.15
24.64,6.09,14.81,48.14,62.59,167.07
236.73,1.91,12.47,46.1,63.66,167.03
0,1.14,11.08,46.07,63.68,167.03
0.51,0.74,10.27,46.07,63.68,167.03
184.4,0.33,9.64,46.07,63.68,167.03
2.79,1.19,10.02,46.05,63.66,167.03
5.84,4.82,11.22,45.67,63.41,167.03
30.23,21.17,15.88,44.71,62.31,167.02
64.77,20.79,16.75,43.84,60.77,166.95
59.18,18.9,17.25,45,57.97,166.86
113.54,14.27,17.39,40.65,52.05,166.81
16.51,4.68,12.68,37.3,48.82,166.76
28.45,4.71,13.99,32.99,47.08,166.72
5.33,2.94,13.89,33.78,47.06,166.7
20.57,0.52,12.59,33.85,47.07,166.7
4.06,0.33,12.21,33.85,47.07,166.7
8.64,0.63,11.86,33.85,47.07,166.7
4.32,2.6,11.95,33.84,47.07,166.7
10.67,10.51,13.73,33.65,46.99,166.7
39.12,19.89,16.51,34.02,46.68,166.7
35.81,23.21,17.01,40,46.43,166.67
171.96,30.21,21.31,56.6,54.24,166.62
83.31,23.02,20.79,56.63,68.52,166.51
25.65,16.95,20.04,56.67,76.04,166.32
5.84,11.19,16.59,52.88,80.84,166.09
5.08,2.43,15.04,50.66,82.25,165.95
2.29,1.41,16.51,50.4,82.44,165.92
4.57,1.05,15.17,50.4,82.44,165.92
240.03,1.58,13.93,50.4,82.44,165.92
118.62,7,14.37,50.38,82.43,165.92
10.67,10.75,14.18,49.84,81.94,165.92
17.78,15.29,14.77,47.77,79.86,165.91
52.07,24.66,17.66,47.63,76.28,165.71
134.37,28.82,22.1,61.7,85.27,165.46
37.34,17.97,20.36,56.11,85.64,165.15
65.53,17.3,21.01,59.26,87.32,164.85
4.83,9.78,16.93,54.84,92.52,164.59
530.86,1.39,13.91,52.17,93.43,164.49
193.8,0.87,13.14,52.14,93.45,164.48
607.31,0.41,12.45,52.14,93.45,164.48
796.04,0.28,12.1,52.14,93.45,164.48
115.57,5.58,14.96,52.13,93.44,164.48
65.422692,1.649694195,9.829675,30.94773,52.28445128,167.3778674
77.986058,11.2203942,14.928667,41.08572,53.48367896,167.1108655
89.384324,28.32419379,19.842705,51.036495,55.73477541,167.5583857
89.384324,32.71332826,20.202667,51.827435,56.50232331,167.8502238
81.240445,19.86109205,18.583275,47.94542,54.7101782,167.1888604
64.555888,10.53861302,14.93753,40.801067,53.68797383,167.1209453
230.976166,5.777791903,12.480384,41.467457,53.16837139,166.9474015
125.782518,3.362984727,10.301258,34.058163,52.30055097,167.2017282
257.695936,0.843851459,10.108325,36.59462,54.82130137,166.9144031
257.695936,0.012,9.659716,35.51715,55.01528179,166.9282352
88.047614,0.126456069,8.5465145,28.486933,52.0407534,167.4029042
57.601046,8.386471926,13.977454,38.74856,53.47129132,167.1606554
94.897994,8.671760522,13.181012,38.30562,52.8529601,167.1300054
77.738319,15.88456308,17.373224,45.7503,54.19711528,167.1159538
100.236314,30.72857639,20.85968,53.44029,55.52821717,167.7424666
83.986838,32.28102577,19.85427,50.98056,56.7578539,167.8000492
84.499302,13.31917774,15.880193,43.174877,53.62460997,167.1039122
135.426053,14.22357577,15.556905,44.02505,52.62039986,167.1105338
31.088022,7.144060999,14.067035,38.7352,53.81416492,167.2092687
60.086387,0.012,8.901698,28.361456,52.07277945,167.4685166
29.141532,0.012095683,10.034967,30.845312,52.29682375,167.5288548
