年份,月份,土壤蒸发量(W/m2),降水量(mm),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2019,7,18.9,59.18,17.25,45,57.97,166.86
2019,8,14.27,113.54,17.39,40.65,52.05,166.81
2019,9,4.68,16.51,12.68,37.3,48.82,166.76
2019,10,4.71,28.45,13.99,32.99,47.08,166.72
2019,11,2.94,5.33,13.89,33.78,47.06,166.7
2019,12,0.52,20.57,12.59,33.85,47.07,166.7
2020,1,0.33,4.06,12.21,33.85,47.07,166.7
2020,2,0.63,8.64,11.86,33.85,47.07,166.7
2020,3,2.6,4.32,11.95,33.84,47.07,166.7
2020,4,10.51,10.67,13.73,33.65,46.99,166.7
2020,5,19.89,39.12,16.51,34.02,46.68,166.7
2020,6,23.21,35.81,17.01,40,46.43,166.67
2020,7,30.21,171.96,21.31,56.6,54.24,166.62
2020,8,23.02,83.31,20.79,56.63,68.52,166.51
2020,9,16.95,25.65,20.04,56.67,76.04,166.32
2020,10,11.19,5.84,16.59,52.88,80.84,166.09
2020,11,2.43,5.08,15.04,50.66,82.25,165.95
2020,12,1.41,2.29,16.51,50.4,82.44,165.92
2021,1,1.05,4.57,15.17,50.4,82.44,165.92
2021,2,1.58,240.03,13.93,50.4,82.44,165.92
2021,3,7,118.62,14.37,50.38,82.43,165.92
2021,4,10.75,10.67,14.18,49.84,81.94,165.92
2021,5,15.29,17.78,14.77,47.77,79.86,165.91
2021,6,24.66,52.07,17.66,47.63,76.28,165.71
2021,7,28.82,134.37,22.1,61.7,85.27,165.46
2021,8,17.97,37.34,20.36,56.11,85.64,165.15
2021,9,17.3,65.53,21.01,59.26,87.32,164.85
2021,10,9.78,4.83,16.93,54.84,92.52,164.59
2021,11,1.39,530.86,13.91,52.17,93.43,164.49
2021,12,0.87,193.8,13.14,52.14,93.45,164.48
2022,1,0.41,607.31,12.45,52.14,93.45,164.48
2022,2,0.28,796.04,12.1,52.14,93.45,164.48
2022,3,5.58,115.57,14.96,52.13,93.44,164.48
,,,3.3,,,,
,,,13.21,,,,
,,,27.43,,,,
,,,29.21,,,,
